asset_id_base,rates
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': '1000SHIB', 'rate': 2804625.470612083}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': '1EARTH', 'rate': 10076362.01746146}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': '1ECO', 'rate': 63630.78660504105}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': '1INCH', 'rate': 54338.71120459403}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': '1INCH3L', 'rate': 49313.751524178886}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': '1INCH3S', 'rate': 81969.4380461544}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': '1INCH5L', 'rate': 149331.29500186024}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': '1INCH5S', 'rate': 146574.89666763434}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': '1PECO', 'rate': 316780.73290925764}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': '1SOL', 'rate': 4476117.919901348}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': '2LC', 'rate': 7422795084.155298}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': '4ART', 'rate': 6180322.765631771}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AAB', 'rate': 564418.0921736434}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AAC', 'rate': 16968358.18846007}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AAVE', 'rate': 366.922098829283}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AAVE3L', 'rate': 300655011.2093694}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AAVE3S', 'rate': 3373628.86944292}"
